"Subject","Start Date","Start Time","End Date","End Time","Description","Location"
"SonarClub - The Chemical Brothers","18.06.2022","22:30","19.06.2022","00:00","https://sonar.es/en/2022/artists/the-chemical-brothers","SonarClub"
"SonarLab - Nihiloxica","18.06.2022","22:40","18.06.2022","23:30","https://sonar.es/en/2022/artists/nihiloxica","SonarLab"
"SonarPub - Arca","18.06.2022","23:25","19.06.2022","00:25","https://sonar.es/en/2022/artists/arca","SonarPub"
"SonarLab - Ehua","18.06.2022","23:40","19.06.2022","01:00","https://sonar.es/en/2022/artists/ehua","SonarLab"
"SonarCar - Kabza De Small x DJ Maphorisa (Scorpion Kings) 6h set ","19.06.2022","00:00","19.06.2022","06:00","https://sonar.es/en/2022/artists/kabza-de-small-x-dj-maphorisa-scorpion-kings-6h-set","SonarCar"
"SonarClub - La Fleur","19.06.2022","00:10","19.06.2022","01:25","https://sonar.es/en/2022/artists/la-fleur","SonarClub"
"SonarPub - Joy Orbison","19.06.2022","00:40","19.06.2022","02:40","https://sonar.es/en/2022/artists/joy-orbison","SonarPub"
"SonarLab - Giant Swan","19.06.2022","01:10","19.06.2022","02:10","https://sonar.es/en/2022/artists/giant-swan","SonarLab"
"SonarClub - Eric Prydz","19.06.2022","01:30","19.06.2022","02:45","https://sonar.es/en/2022/artists/eric-prydz","SonarClub"
"SonarLab - Batu","19.06.2022","02:15","19.06.2022","03:30","https://sonar.es/en/2022/artists/batu","SonarLab"
"SonarPub - AJ Tracey","19.06.2022","02:45","19.06.2022","03:45","https://sonar.es/en/2022/artists/aj-tracey","SonarPub"
"SonarClub - Charlotte de Witte","19.06.2022","02:50","19.06.2022","04:30","https://sonar.es/en/2022/artists/charlotte-de-witte","SonarClub"
"SonarLab - Helena Hauff ","19.06.2022","03:35","19.06.2022","05:10","https://sonar.es/en/2022/artists/helena-hauff","SonarLab"
"SonarPub - Folamour: Power to the PPL A/V","19.06.2022","03:55","19.06.2022","05:55","https://sonar.es/en/2022/artists/folamour-power-to-the-ppl-a-v","SonarPub"
"SonarClub - Reinier Zonneveld Live ","19.06.2022","04:40","19.06.2022","05:40","https://sonar.es/en/2022/artists/reinier-zonneveld-live","SonarClub"
"SonarLab - Midland & Shanti Celeste","19.06.2022","05:15","19.06.2022","07:00","https://sonar.es/en/2022/artists/midland-shanti-celeste","SonarLab"
"SonarClub - Anfisa Letyago","19.06.2022","05:45","19.06.2022","07:30","https://sonar.es/en/2022/artists/anfisa-letyago","SonarClub"
"SonarPub - The Blessed Madonna","19.06.2022","06:00","19.06.2022","07:30","https://sonar.es/en/2022/artists/the-blessed-madonna","SonarPub"
